omega,x,y,z
0.0,0.65,-0.35,0.3
0.0,0.598,-0.3272,0.2505
0.0,0.546,-0.3063,0.2043
0.0,0.494,-0.2871,0.1616
0.0,0.442,-0.2699,0.1225
0.0,0.39,-0.2546,0.0873
0.0,0.338,-0.2412,0.056
0.0,0.286,-0.2298,0.029
0.0,0.234,-0.2203,0.0062
0.0,0.182,-0.2128,-0.0121
0.0,0.13,-0.2071,-0.026
0.0,0.078,-0.2034,-0.0353
0.0,0.026,-0.2015,-0.0399
0.0,-0.026,-0.2015,-0.0399
0.0,-0.078,-0.2034,-0.0353
0.0,-0.13,-0.2071,-0.026
0.0,-0.182,-0.2128,-0.0121
0.0,-0.234,-0.2203,0.0062
0.0,-0.286,-0.2298,0.029
0.0,-0.338,-0.2412,0.056
0.0,-0.39,-0.2546,0.0873
0.0,-0.442,-0.2699,0.1225
0.0,-0.494,-0.2871,0.1616
0.0,-0.546,-0.3063,0.2043
0.0,-0.598,-0.3272,0.2505
0.0,-0.65,-0.35,0.3
0.0,-0.65,-0.35,0.3
0.0,-0.6172,-0.3089,0.2856
0.0,-0.585,-0.2674,0.2707
0.0,-0.5533,-0.2257,0.2552
0.0,-0.5223,-0.1835,0.2391
0.0,-0.492,-0.141,0.2222
0.0,-0.4624,-0.098,0.2043
0.0,-0.4337,-0.0545,0.1851
0.0,-0.4059,-0.0105,0.1646
0.0,-0.3789,0.0339,0.1424
0.0,-0.3528,0.0789,0.1182
0.0,-0.3275,0.1244,0.0918
0.0,-0.303,0.1703,0.0628
0.0,-0.2792,0.2166,0.031
0.0,-0.256,0.2632,-0.0038
0.0,-0.2331,0.3101,-0.0418
0.0,-0.2106,0.3571,-0.0832
0.0,-0.1882,0.4042,-0.128
0.0,-0.1658,0.4513,-0.1762
0.0,-0.1432,0.4984,-0.2279
0.0,-0.1204,0.5452,-0.2828
0.0,-0.0972,0.5919,-0.3409
0.0,-0.0737,0.6384,-0.4021
0.0,-0.0496,0.6845,-0.4661
0.0,-0.0251,0.7304,-0.5329
0.0,0.,0.776,-0.6022
0.0,0.,0.776,-0.6022
0.0,0.0251,0.7304,-0.5329
0.0,0.0496,0.6845,-0.4661
0.0,0.0737,0.6384,-0.4021
0.0,0.0972,0.5919,-0.3409
0.0,0.1204,0.5452,-0.2828
0.0,0.1432,0.4984,-0.2279
0.0,0.1658,0.4513,-0.1762
0.0,0.1882,0.4042,-0.128
0.0,0.2106,0.3571,-0.0832
0.0,0.2331,0.3101,-0.0418
0.0,0.256,0.2632,-0.0038
0.0,0.2792,0.2166,0.031
0.0,0.303,0.1703,0.0628
0.0,0.3275,0.1244,0.0918
0.0,0.3528,0.0789,0.1182
0.0,0.3789,0.0339,0.1424
0.0,0.4059,-0.0105,0.1646
0.0,0.4337,-0.0545,0.1851
0.0,0.4624,-0.098,0.2043
0.0,0.492,-0.141,0.2222
0.0,0.5223,-0.1835,0.2391
0.0,0.5533,-0.2257,0.2552
0.0,0.585,-0.2674,0.2707
0.0,0.6172,-0.3089,0.2856
0.0,0.65,-0.35,0.3
0.1,0.65,-0.35,0.2846
0.1,0.598,-0.3285,0.2369
